country,url,status,code,note
United Kingdom,https://www.lingua-learn.co.uk/,REDIRECT_OTHER,200,Redirected to lingua-learn.co.uk | Title: Online Language Learning For The UK | Language Training UK
United Arab Emirates,https://www.lingua-learn.ae/,REDIRECT_OTHER,200,Redirected to lingua-learn.ae | Title: Online Language Institute – Dubai & Abu Dhabi | Lingua Learn
Oman,https://www.lingua-learn.om/,REDIRECT_OTHER,200,Redirected to lingua-learn.om | Title: Lingua Learn Oman – Virtual Training in Oman
Qatar,https://www.lingua-learn.qa/,REDIRECT_OTHER,200,Redirected to lingua-learn.qa | Title: Online Courses in Qatar for Flexible Language Learning
Czechia,https://lingua-learn.cz/,OK,200,Title: Trusted Czech Language Courses Platform with Expert Tutors
Italy,https://www.lingua-learn.it/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Spain,https://www.lingua-learn.es/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Switzerland,http://www.lingua-learn.ch/,REDIRECT_OTHER,200,Redirected to lingua-learn.ch | Title: Online language courses in Switzerland - Best Institute
Netherlands,http://www.lingua-learn.nl/,REDIRECT_OTHER,200,Redirected to lingua-learn.nl | Title: Language Programs Online in Netherlands | Lingua Learn Nederland
Turkey,https://www.lingua-learn.com.tr/,REDIRECT_OTHER,200,Redirected to lingua-learn.com.tr | Title: Online Dil Kursları - Lingua Learn Türkiye
Portugal,https://www.lingua-learn.pt/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Germany,http://www.lingua-learn.de/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Austria,http://www.lingua-learn.at/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Armenia,http://www.lingua-learn.am/,OK,200,Title: Գլխավոր էջ - Lingua Learn Armenia
Greece,http://www.lingua-learn.gr/,REDIRECT_OTHER,200,Redirected to lingua-learn.gr | Title: Online Course Platforms for Language & Skill Training | Lingua Learn
France,http://www.lingua-learn.fr/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
